reference,api_group,capability,reference_support,openglesscope_0_7_0,openglesscope_path,ui_txt_html_database,status
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_COMBINED_TEXTURE_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_CUBE_MAP_TEXTURE_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_FRAGMENT_UNIFORM_VECTORS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_RENDERBUFFER_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_TEXTURE_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_TEXTURE_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_VARYING_VECTORS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_VERTEX_ATTRIBS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_VERTEX_TEXTURE_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_VERTEX_UNIFORM_VECTORS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_MAX_VIEWPORT_DIMS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_NUM_COMPRESSED_TEXTURE_FORMATS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_NUM_SHADER_BINARY_FORMATS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 2.0,GL_NUM_PROGRAM_BINARY_FORMATS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_3D_TEXTURE_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_ARRAY_TEXTURE_LAYERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_COLOR_ATTACHMENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_COMBINED_FRAGMENT_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_COMBINED_TEXTURE_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_COMBINED_UNIFORM_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_COMBINED_VERTEX_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_CUBE_MAP_TEXTURE_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_DRAW_BUFFERS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_ELEMENT_INDEX,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_ELEMENTS_INDICES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_ELEMENTS_VERTICES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_FRAGMENT_INPUT_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_FRAGMENT_UNIFORM_BLOCKS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_FRAGMENT_UNIFORM_COMPONENTS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_FRAGMENT_UNIFORM_VECTORS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MIN_PROGRAM_TEXEL_OFFSET,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_PROGRAM_TEXEL_OFFSET,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_RENDERBUFFER_SIZE,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_SAMPLES,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_SERVER_WAIT_TIMEOUT,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_TEXTURE_IMAGE_UNITS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
External public OpenGL ES capability reference,OpenGL ES 3.0,GL_MAX_TEXTURE_LOD_BIAS,reported,covered,version-gated direct GL query; indexed query for work-group arrays where applicable,yes,parity
